Day,Max,Min,rain
16/03/20,63,44,0
17/03/20,62,44,0.3
18/03/20,65,38,0
19/03/20,42,26,0.8
20/03/20,40,29,0
21/03/20,40,29,0
22/03/20,44,34,0
23/03/20,62,35,0
24/03/20,65,40,0
25/03/20,82,59,0
26/03/20,82,58,0
27/03/20,67,43,0
28/03/20,62,52,0
29/03/20,48,45,0
30/03/20,62,43,1.13
31/03/20,48,43,0
01/04/20,72,48,0
02/04/20,72,48,0
03/04/20,64,48,0
04/04/20,63,39,0
05/04/20,42,34,0.1
06/04/20,51,33,0
07/04/20,59,36,0
08/04/20,62,46,0
09/04/20,74,46,0
10/04/20,72,51,0
11/04/20,48,43,0
12/04/20,58,43,0.43
13/04/20,67,45,0
14/04/20,60,38,0
15/04/20,59,38,0
16/04/20,73,49,0
17/04/20,79,65,0.13
18/04/20,67,43,0.2
19/04/20,46,34,0
20/04/20,63,36,0.1
21/04/20,45,32,0
22/04/20,54,32,0
23/04/20,61,48,0.13
24/04/20,51,41,0.02
25/04/20,43,34,0.43
26/04/20,50,30,0.03
27/04/20,68,42,0.19
28/04/20,62,47,0.16
29/04/20,58,40,0
30/04/20,62,42,0
01/05/20,65,43,0
02/05/20,68,44,0
03/05/20,75,44,0
04/05/20,83,53,0
05/05/20,76,56,0
06/05/20,72,49,0
07/05/20,73,49,0.23
08/05/20,80,63,0
09/05/20,69,53,0
10/05/20,70,46,0.05
11/05/20,77,51,0
12/05/20,85,51,0.17
13/05/20,55,49,0
14/05/20,56,43,0.19
15/05/20,52,44,0
16/05/20,61,45,0.42
17/05/20,52,46,0.2
18/05/20,64,46,0.63
19/05/20,59,51,0.05
20/05/20,53,49,0.03
21/05/20,57,48,0.94
22/05/20,55,49,
23/05/20,61,49,0.51
24/05/20,70,51,0
25/05/20,71,52,0
26/05/20,61,52,0
27/05/20,69,54,0
28/05/20,81,59,0.17
29/05/20,70,61,0
30/05/20,77,56,0.08
31/05/20,59,47,0
01/06/20,63,56,0.13
02/06/20,63,56,0.13
03/06/20,69,55,0.1
04/06/20,75,55,0
05/06/20,80,54,0
06/06/20,62,53,1.38
07/06/20,65,51,0.02
08/06/20,77,55,0.17
09/06/20,84,58,0
10/06/20,90,60,0
11/06/20,92,69,0
12/06/20,91,72,0
13/06/20,92,70,0
14/06/20,90,69,2.4
15/06/20,81,67,0
16/06/20,90,71,0
17/06/20,90,69,0
18/06/20,84,62,0.2
19/06/20,74,64,0
20/06/20,86,67,0.05
21/06/20,84,68,0.75
22/06/20,88,68,0
23/06/20,87,68,0
24/06/20,71,56,0.21
25/06/20,76,55,0
26/06/20,80,60,0
27/06/20,93,64,0
28/06/20,90,67,0
29/06/20,79,60,0
30/06/20,81,61,0
01/07/20,82,64,0.23
02/07/20,72,63,0
03/07/20,85,65,0
04/07/20,88,62,0
05/07/20,95,68,0
06/07/20,94,69,0
07/07/20,91,73,0.05
08/07/20,89,71,0
09/07/20,88,72,0
